prefecture,prefecture_code,renewal_number,registration_number,company_name,representative_name,office_name,address,phone_number
茨城県,08,14,004567,水戸住宅販売株式会社,井上 大輔,本店,茨城県水戸市泉町1-2-3,029-555-0022
栃木県,09,15,005678,宇都宮不動産株式会社,木村 隆,本店,栃木県宇都宮市馬場通り1-1-1,028-555-0023
群馬県,10,16,006789,前橋住宅サービス株式会社,林 正人,本店,群馬県前橋市本町1-2-3,027-555-0024
埼玉県,11,17,007890,さいたま不動産株式会社,斎藤 優,本店,埼玉県さいたま市大宮区桜木町1-1-1,048-555-0025
埼玉県,11,16,008901,川口住宅センター株式会社,清水 修,本店,埼玉県川口市本町1-2-3,048-555-0026
千葉県,12,15,009012,千葉不動産販売株式会社,森 浩二,本店,千葉県千葉市中央区中央1-1-1,043-555-0027
千葉県,12,17,010123,船橋ハウジング株式会社,阿部 徹,本店,千葉県船橋市本町1-2-3,047-555-0028
東京都,13,18,000001,東京不動産株式会社,山田 太郎,本店,東京都千代田区丸の内1-1-1,03-5555-0029
東京都,13,17,000123,株式会社首都圏住宅,佐藤 花子,本店,東京都港区赤坂1-2-3,03-5555-0030
東京都,13,16,001234,渋谷不動産販売株式会社,鈴木 一郎,本店,東京都渋谷区渋谷1-1-1,03-5555-0031
東京都,13,15,002345,新宿ホームサービス株式会社,高橋 健太,本店,東京都新宿区西新宿1-2-3,03-5555-0032
東京都,13,18,003456,品川リアルエステート株式会社,田中 洋子,本店,東京都品川区北品川1-1-1,03-5555-0033
東京都,13,17,004567,池袋住宅センター株式会社,伊藤 雄太,本店,東京都豊島区東池袋1-2-3,03-5555-0034
東京都,13,16,005678,世田谷不動産株式会社,渡辺 美咲,本店,東京都世田谷区三軒茶屋1-1-1,03-5555-0035
東京都,13,15,006789,目黒ハウジング株式会社,加藤 翔太,本店,東京都目黒区中目黒1-2-3,03-5555-0036
東京都,13,18,007890,杉並住宅サービス株式会社,山本 裕子,本店,東京都杉並区荻窪1-1-1,03-5555-0037
東京都,13,17,008901,中野不動産販売株式会社,中村 康弘,本店,東京都中野区中野1-2-3,03-5555-0038
神奈川県,14,16,001234,横浜不動産株式会社,小林 真司,本店,神奈川県横浜市中区本町1-1-1,045-555-0039
神奈川県,14,17,002345,川崎住宅センター株式会社,松本 彩,本店,神奈川県川崎市川崎区駅前本町1-2-3,044-555-0040
神奈川県,14,15,003456,相模原ホームサービス株式会社,井上 達也,本店,神奈川県相模原市中央区中央1-1-1,042-555-0041
新潟県,15,14,001234,新潟不動産株式会社,木村 直樹,本店,新潟県新潟市中央区古町1-2-3,025-555-0042
富山県,16,15,001234,富山住宅販売株式会社,林 恵子,本店,富山県富山市総曲輪1-1-1,076-555-0043
石川県,17,16,001234,金沢不動産株式会社,斎藤 誠一,本店,石川県金沢市片町1-2-3,076-555-0044
福井県,18,14,001234,福井ハウジング株式会社,清水 美穂,本店,福井県福井市中央1-1-1,0776-555-0045
山梨県,19,15,001234,甲府不動産株式会社,森 大輔,本店,山梨県甲府市丸の内1-2-3,055-555-0046
長野県,20,16,001234,長野住宅サービス株式会社,阿部 麻衣,本店,長野県長野市南千歳1-1-1,026-555-0047
岐阜県,21,14,001234,岐阜不動産販売株式会社,池田 健吾,本店,岐阜県岐阜市神田町1-2-3,058-555-0048
静岡県,22,17,001234,静岡ホームセンター株式会社,石川 由美,本店,静岡県静岡市葵区追手町1-1-1,054-555-0049
静岡県,22,16,002345,浜松不動産株式会社,前田 浩,本店,静岡県浜松市中央区田町1-2-3,053-555-0050
愛知県,23,18,001234,名古屋不動産株式会社,藤田 拓也,本店,愛知県名古屋市中区栄1-1-1,052-555-0051
愛知県,23,17,002345,豊田住宅センター株式会社,岡田 さくら,本店,愛知県豊田市西町1-2-3,0565-555-0052
愛知県,23,16,003456,岡崎ハウジング株式会社,後藤 翼,本店,愛知県岡崎市康生通1-1-1,0564-555-0053
三重県,24,15,001234,津不動産株式会社,村上 理沙,本店,三重県津市中央1-2-3,059-555-0054
滋賀県,25,14,001234,大津住宅サービス株式会社,近藤 健二,本店,滋賀県大津市浜大津1-1-1,077-555-0055
京都府,26,17,001234,京都不動産株式会社,坂本 愛,本店,京都府京都市中京区烏丸通1-2-3,075-555-0056
京都府,26,16,002345,宇治ホームセンター株式会社,遠藤 大地,本店,京都府宇治市宇治1-1-1,0774-555-0057
大阪府,27,18,001234,大阪不動産株式会社,青木 結衣,本店,大阪府大阪市北区梅田1-1-1,06-5555-0058
大阪府,27,17,002345,堺住宅販売株式会社,橋本 蓮,本店,大阪府堺市堺区市之町1-2-3,072-555-0059
大阪府,27,16,003456,東大阪ハウジング株式会社,原田 凛,本店,大阪府東大阪市長堂1-1-1,06-5555-0060
大阪府,27,15,004567,豊中不動産サービス株式会社,松井 優,本店,大阪府豊中市本町1-2-3,06-5555-0061
兵庫県,28,17,001234,神戸不動産株式会社,小川 悠人,本店,兵庫県神戸市中央区三宮町1-1-1,078-555-0062
兵庫県,28,16,002345,姫路住宅センター株式会社,柴田 美優,本店,兵庫県姫路市駅前町1-2-3,079-555-0063
兵庫県,28,15,003456,西宮ホームサービス株式会社,宮崎 海斗,本店,兵庫県西宮市高松町1-1-1,0798-555-0064
奈良県,29,14,001234,奈良不動産株式会社,金子 心春,本店,奈良県奈良市三条本町1-2-3,0742-555-0065
和歌山県,30,15,001234,和歌山住宅販売株式会社,藤井 陽太,本店,和歌山県和歌山市本町1-1-1,073-555-0066
鳥取県,31,13,001234,鳥取不動産株式会社,太田 美月,本店,鳥取県鳥取市栄町1-2-3,0857-555-0067
島根県,32,14,001234,松江ハウジング株式会社,中川 颯太,本店,島根県松江市殿町1-1-1,0852-555-0068
岡山県,33,16,001234,岡山不動産株式会社,西村 朱里,本店,岡山県岡山市北区駅前町1-2-3,086-555-0069
広島県,34,17,001234,広島住宅センター株式会社,内田 空,本店,広島県広島市中区紙屋町1-1-1,082-555-0070
広島県,34,16,002345,呉不動産サービス株式会社,高田 咲良,本店,広島県呉市中央1-2-3,0823-555-0071
山口県,35,15,001234,下関ホームセンター株式会社,福田 大翔,本店,山口県下関市竹崎町1-1-1,083-555-0072
徳島県,36,14,001234,徳島不動産株式会社,三浦 芽依,本店,徳島県徳島市幸町1-2-3,088-555-0073
香川県,37,15,001234,高松住宅販売株式会社,岩崎 陽向,本店,香川県高松市番町1-1-1,087-555-0074
愛媛県,38,16,001234,松山不動産株式会社,田口 杏,本店,愛媛県松山市一番町1-2-3,089-555-0075
高知県,39,14,001234,高知ハウジング株式会社,横山 晴,本店,高知県高知市帯屋町1-1-1,088-555-0076
福岡県,40,17,001234,福岡不動産株式会社,吉田 葵,本店,福岡県福岡市中央区天神1-1-1,092-555-0077
福岡県,40,16,002345,北九州住宅センター株式会社,中島 悠真,本店,福岡県北九州市小倉北区浅野1-2-3,093-555-0078
福岡県,40,15,003456,久留米不動産サービス株式会社,山崎 陽菜,本店,福岡県久留米市天神町1-1-1,0942-555-0079
佐賀県,41,14,001234,佐賀ホームセンター株式会社,佐々木 湊,本店,佐賀県佐賀市栄町1-2-3,0952-555-0080
長崎県,42,15,001234,長崎不動産株式会社,酒井 結菜,本店,長崎県長崎市浜町1-1-1,095-555-0081
熊本県,43,16,001234,熊本住宅販売株式会社,小野 大和,本店,熊本県熊本市中央区手取本町1-2-3,096-555-0082
大分県,44,14,001234,大分不動産株式会社,福島 ひまり,本店,大分県大分市府内町1-1-1,097-555-0083
宮崎県,45,15,001234,宮崎ハウジング株式会社,上田 蒼,本店,宮崎県宮崎市橘通東1-2-3,0985-555-0084
鹿児島県,46,16,001234,鹿児島住宅センター株式会社,石井 彩花,本店,鹿児島県鹿児島市東千石町1-1-1,099-555-0085
沖縄県,47,17,001234,那覇不動産株式会社,長谷川 律,本店,沖縄県那覇市久茂地1-1-1,098-555-0086
沖縄県,47,16,002345,浦添住宅サービス株式会社,田村 萌,本店,沖縄県浦添市屋富祖1-2-3,098-555-0087
